2025-03-08 23:48:31,358 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-08 23:48:31,358 - INFO - Connected to /tmp/vgps1
2025-03-08 23:48:31,358 - INFO - Advancing to waypoint 2
2025-03-08 23:48:31,358 - INFO - Following waypoints:
2025-03-08 23:48:31,361 - INFO - 76: 23.193345, 77.405309
2025-03-08 23:48:31,361 - INFO - 77: 23.193075, 77.405593
2025-03-08 23:48:31,361 - INFO - 78: 23.193047, 77.405633
2025-03-08 23:48:31,361 - INFO - 79: 23.193020, 77.405700
2025-03-08 23:48:31,361 - INFO - 80: 23.193007, 77.405794
2025-03-08 23:48:31,361 - INFO - 81: 23.193009, 77.406007
2025-03-08 23:48:31,361 - INFO - 82: 23.193022, 77.406113
2025-03-08 23:48:31,361 - INFO - 83: 23.193012, 77.406289
2025-03-08 23:48:31,361 - INFO - 84: 23.192740, 77.406729
2025-03-08 23:48:31,361 - INFO - 85: 23.192632, 77.407024
2025-03-08 23:48:31,361 - INFO - 86: 23.192710, 77.407212
2025-03-08 23:48:31,361 - INFO - 87: 23.192659, 77.407316
2025-03-08 23:48:31,361 - INFO - 88: 23.192430, 77.407391
2025-03-08 23:48:31,361 - INFO - 89: 23.192273, 77.407403
2025-03-08 23:48:31,361 - INFO - 90: 23.192051, 77.407336
2025-03-08 23:48:31,361 - INFO - 91: 23.191392, 77.406879
2025-03-08 23:48:31,361 - INFO - 92: 23.191300, 77.406920
2025-03-08 23:48:31,361 - INFO - 93: 23.191274, 77.407042
2025-03-08 23:48:31,361 - INFO - 94: 23.191298, 77.407174
2025-03-08 23:48:31,361 - INFO - 95: 23.191951, 77.407932
2025-03-08 23:48:31,362 - INFO - 96: 23.192212, 77.408203
2025-03-08 23:48:31,362 - INFO - 97: 23.192379, 77.408263
2025-03-08 23:48:31,362 - INFO - 98: 23.192522, 77.408221
2025-03-08 23:48:31,362 - INFO - 99: 23.192868, 77.408093
2025-03-08 23:48:31,362 - INFO - 100: 23.193023, 77.408006
2025-03-08 23:48:31,362 - INFO - 101: 23.193073, 77.408010
2025-03-08 23:48:31,362 - INFO - 102: 23.193422, 77.408250
2025-03-08 23:48:31,362 - INFO - 103: 23.194357, 77.408968
2025-03-08 23:48:31,362 - INFO - 104: 23.194897, 77.409349
2025-03-08 23:48:31,362 - INFO - 105: 23.195109, 77.409463
2025-03-08 23:48:31,362 - INFO - 106: 23.195458, 77.409504
2025-03-08 23:48:31,362 - INFO - 107: 23.195736, 77.409548
2025-03-08 23:48:31,362 - INFO - 108: 23.195913, 77.409643
2025-03-08 23:48:31,362 - INFO - 109: 23.196974, 77.410319
2025-03-08 23:48:31,362 - INFO - 110: 23.197087, 77.410289
2025-03-08 23:48:31,362 - INFO - 111: 23.197788, 77.409889
2025-03-08 23:48:31,362 - INFO - 112: 23.198008, 77.409781
2025-03-08 23:48:31,362 - INFO - 113: 23.198399, 77.409845
2025-03-08 23:48:31,362 - INFO - 114: 23.199517, 77.410123
2025-03-08 23:48:31,362 - INFO - 115: 23.199834, 77.410038
2025-03-08 23:48:31,362 - INFO - 116: 23.200293, 77.409892
2025-03-08 23:48:31,362 - INFO - 117: 23.200407, 77.409895
2025-03-08 23:48:31,362 - INFO - 118: 23.199866, 77.411824
2025-03-08 23:48:31,362 - INFO - 119: 23.199666, 77.412661
2025-03-08 23:48:31,362 - INFO - 120: 23.199418, 77.413212
2025-03-08 23:48:31,362 - INFO - 121: 23.199116, 77.413633
2025-03-08 23:48:31,362 - INFO - 122: 23.199012, 77.413757
2025-03-08 23:48:31,362 - INFO - 123: 23.199215, 77.413937
2025-03-08 23:48:31,362 - INFO - 124: 23.198809, 77.414498
2025-03-08 23:48:31,362 - INFO - 125: 23.198533, 77.414922
2025-03-08 23:48:31,362 - INFO - 126: 23.198760, 77.414915
2025-03-08 23:48:31,362 - INFO - 127: 23.198755, 77.415315
2025-03-08 23:48:31,362 - INFO - 128: 23.199146, 77.415307
2025-03-08 23:48:31,362 - INFO - 129: 23.199159, 77.415693
2025-03-08 23:48:31,362 - INFO - 130: 23.199213, 77.416740
2025-03-08 23:51:55,470 - INFO - Stopping simulation...
2025-03-08 23:51:56,374 - INFO - Simulation stopped
2025-03-08 23:52:03,191 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-08 23:52:03,191 - INFO - Connected to /tmp/vgps1
2025-03-08 23:52:03,191 - INFO - Waypoint 1 reached
2025-03-08 23:52:03,191 - INFO - Following 116 waypoints at 7.0 m/s
2025-03-08 23:52:03,192 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-08 23:52:03,192 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-08 23:52:06,192 - INFO - Waypoint 2 reached
2025-03-08 23:52:08,192 - INFO - Waypoint 3 reached
2025-03-08 23:52:23,193 - INFO - Waypoint 4 reached
2025-03-08 23:52:37,194 - INFO - Waypoint 5 reached
2025-03-08 23:52:53,303 - INFO - Stopping simulation...
2025-03-08 23:52:54,195 - INFO - Simulation stopped
2025-03-08 23:55:08,221 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-08 23:55:08,222 - INFO - Connected to /tmp/vgps1
2025-03-08 23:55:08,222 - INFO - Waypoint 1 reached
2025-03-08 23:55:08,222 - INFO - Following 116 waypoints at 7.0 m/s
2025-03-08 23:55:08,223 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-08 23:55:08,223 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-08 23:55:11,222 - INFO - Waypoint 2 reached
2025-03-08 23:55:13,223 - INFO - Waypoint 3 reached
2025-03-08 23:55:28,224 - INFO - Waypoint 4 reached
2025-03-08 23:55:42,225 - INFO - Waypoint 5 reached
2025-03-08 23:56:19,227 - INFO - Waypoint 6 reached
2025-03-08 23:56:39,229 - INFO - Waypoint 7 reached
2025-03-08 23:57:01,231 - INFO - Waypoint 8 reached
2025-03-08 23:57:12,231 - INFO - Waypoint 9 reached
2025-03-08 23:57:31,233 - INFO - Waypoint 10 reached
2025-03-08 23:57:48,234 - INFO - Waypoint 11 reached
2025-03-08 23:57:55,235 - INFO - Waypoint 12 reached
2025-03-08 23:57:58,235 - INFO - Waypoint 13 reached
2025-03-08 23:58:09,236 - INFO - Waypoint 14 reached
2025-03-08 23:58:39,238 - INFO - Waypoint 15 reached
2025-03-08 23:58:44,238 - INFO - Waypoint 16 reached
2025-03-08 23:58:57,239 - INFO - Waypoint 17 reached
2025-03-08 23:59:07,240 - INFO - Waypoint 18 reached
2025-03-08 23:59:21,241 - INFO - Waypoint 19 reached
2025-03-08 23:59:32,242 - INFO - Waypoint 20 reached
2025-03-08 23:59:36,242 - INFO - Waypoint 21 reached
2025-03-08 23:59:38,243 - INFO - Waypoint 22 reached
2025-03-08 23:59:47,243 - INFO - Waypoint 23 reached
2025-03-09 00:00:19,246 - INFO - Waypoint 24 reached
2025-03-09 00:00:34,247 - INFO - Waypoint 25 reached
2025-03-09 00:00:41,247 - INFO - Waypoint 26 reached
2025-03-09 00:00:46,248 - INFO - Waypoint 27 reached
2025-03-09 00:00:48,248 - INFO - Waypoint 28 reached
2025-03-09 00:00:51,248 - INFO - Waypoint 29 reached
2025-03-09 00:01:12,250 - INFO - Waypoint 30 reached
2025-03-09 00:01:31,251 - INFO - Waypoint 31 reached
2025-03-09 00:01:38,252 - INFO - Waypoint 32 reached
2025-03-09 00:01:44,252 - INFO - Waypoint 33 reached
2025-03-09 00:01:48,253 - INFO - Waypoint 34 reached
2025-03-09 00:01:51,253 - INFO - Waypoint 35 reached
2025-03-09 00:01:51,968 - INFO - Stopping simulation...
2025-03-09 00:01:52,253 - INFO - Simulation stopped
2025-03-09 15:17:54,058 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-09 15:17:54,060 - INFO - Connected to /tmp/vgps1
2025-03-09 15:17:54,060 - INFO - Waypoint 1 reached
2025-03-09 15:17:54,060 - INFO - Following 116 waypoints at 7.0 m/s
2025-03-09 15:17:54,061 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-09 15:17:54,061 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-09 15:17:57,061 - INFO - Waypoint 2 reached
2025-03-09 15:17:59,061 - INFO - Waypoint 3 reached
2025-03-09 15:18:14,062 - INFO - Waypoint 4 reached
2025-03-09 15:18:23,383 - INFO - Stopping simulation...
2025-03-09 15:18:24,063 - INFO - Simulation stopped
2025-03-09 23:31:03,130 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-09 23:31:03,138 - INFO - Connected to /tmp/vgps1
2025-03-09 23:31:03,139 - INFO - Waypoint 1 reached
2025-03-09 23:31:03,139 - INFO - Following 116 waypoints at 7.0 m/s
2025-03-09 23:31:03,139 - INFO - Starting from waypoint 1: 23.192414, 77.371005
2025-03-09 23:31:03,139 - INFO - GPS simulation started. Press Ctrl+C to stop.
2025-03-09 23:31:06,139 - INFO - Waypoint 2 reached
2025-03-09 23:31:08,139 - INFO - Waypoint 3 reached
2025-03-09 23:31:23,140 - INFO - Waypoint 4 reached
2025-03-09 23:31:23,863 - INFO - Stopping simulation...
2025-03-09 23:31:24,141 - INFO - Simulation stopped
2025-03-09 23:32:20,310 - INFO - 
Virtual ports created!
Simulator using: /tmp/vgps1
Receiver should use: /tmp/vgps2

2025-03-09 23:32:20,310 - INFO - Connected to /tmp/vgps1
2025-03-09 23:32:20,311 - INFO - Waypoint 1 reached
2025-03-09 23:32:20,311 - INFO - Following 116 waypoints at 7.0 m/s
